id,question,concept,answer1,answer2
114,Nick had a bigger dog than Craig because _ fed their dog much more food.,,Nick,Craig
115,Nick had a smaller dog than Craig because _ fed their dog much more food.,,Craig,Nick
116,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.,,Christine,Victoria
117,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.,,Victoria,Christine
118,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.,,Steven,Kyle
119,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.,,Kyle,Steven
120,"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had strong will power.",,Brett,Benjamin
121,"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had weak will power.",,Benjamin,Brett
122,Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.,,Eric,Michael
123,Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.,,Michael,Eric
124,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.",,Kayla,Amy
125,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.",,Amy,Kayla
126,Eric looked at Neil in shock and started to react violently because _ lied to him.,,Neil,Eric
127,Eric looked at Neil in shock and started to react violently because _ felt betrayed.,,Eric,Neil
128,"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.",,Jeffrey,Matthew
129,"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.",,Matthew,Jeffrey
130,Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.,,Emily,Samantha
131,Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.,,Samantha,Emily
132,Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.,,Katrina,Jessica
133,Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.,,Jessica,Katrina
134,"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.",,Mary,Megan
135,"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.",,Megan,Mary
136,John's certification was less important that Jim's degree because the _ was from a minor University.,,certification,degree
137,John's certification was less important that Jim's degree because the _ was from a major University.,,degree,certification
138,"They opted not to go to the dance but to the movie instead, the _ seemed like a proper destination for their date.",,movie,dance
139,"They opted not to go to the dance but to the movie instead, the _ seemed like an inappropriate destination for their date.",,dance,movie
140,"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was hot.",,downstairs,upstairs
141,"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was cold.",,upstairs,downstairs
142,Michael wanted to take Craig out on the water in his new boat. _ said it would be fun to show him the ropes.,,Michael,Craig
143,Michael wanted to take Craig out on the water in his new boat. _ said it would be confusing to see how the boat works.,,Craig,Michael
144,"Come over here and take a look at my scalp today  Natalie told Katrina, _ hates providing her  opinion.",,Katrina,Natalie
145,"Come over here and take a look at my scalp today  Natalie told Katrina, _ needs a second opinion.",,Natalie,Katrina
146,"The sushi rotted on the counter unless it was put in the cooler, as the _ exposed it to contamination.",,counter,cooler
147,"The sushi rotted on the counter unless it was put in the cooler, as the _ protected it from contamination.",,cooler,counter
148,The contract could not be drafted at the business during that day because the _ was too small to care about.,,contract,business
149,The contract could not be drafted at the business during that day because the _ was too big to care about it.,,business,contract
150,"Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.",,Laura,Katrina
151,"Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.",,Katrina,Laura
152,Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were savory.,,nuts,chocolates
153,Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were sweet.,,chocolates,nuts
154,James was looking if there is any space to put the book into the shelf. The _ is small.,,space,book
155,James was looking if there is any space to put the book into the shelf. The _ is big.,,book,space
156,James was writing a poem on his jotter when the ink finished. The _ is a long .,,poem,ink
157,James was writing a poem on his jotter when the ink finished. The _ is a low.,,ink,poem
158,"The couple drank wine out of glasses instead of mugs, because the _ were clean.",,glasses,mugs
159,"The couple drank wine out of glasses instead of mugs, because the _ were dirty.",,mugs,glasses
160,Dividing the candy was more difficult than dividing the apples because every kid wanted the _ .,,candy,apples
161,Dividing the candy was more difficult than dividing the apples because no kid wanted the _ .,,apples,candy
162,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.,,Brian,Kenneth
163,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.,,Kenneth,Brian
164,"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",,Kevin,Brian
165,"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",,Brian,Kevin
166,"William forgot about all the times when Ian saved them, despite how _ was generally self-sacrificing.",,Ian,William
167,"William forgot about all the times when Ian saved them, because _ was generally self-involved.",,William,Ian
168,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.",,Felicia,Katrina
169,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.",,Katrina,Felicia
170,Jason denied Ian's passport application because _ did not provide the correct paperwork in time.,,Ian,Jason
171,Jason denied Ian's passport application because _ did not receive the correct paperwork in time.,,Jason,Ian
172,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too weak.,,tea tree,Vanilla
173,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too strong.,,Vanilla,tea tree
174,I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is harder to kick.,,foot,soccer
175,I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is easier to kick.,,soccer,foot
176,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.",,Kyle,William
177,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.",,William,Kyle
178,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.",,Kevin,William
179,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.",,William,Kevin
180,The woman sprayed cleaner on the mirror but skipped the countertop because the _ was clean.,,countertop,mirror
181,The woman sprayed cleaner on the mirror but skipped the countertop because the _ was dirty.,,mirror,countertop
182,Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.,,Matthew,Justin
183,Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.,,Justin,Matthew
184,The children could only count the number of balls in one jar and not the beans in the other because the _ were too numerous.,,beans,balls
185,The children could only count the number of balls in one jar and not the beans in the other because the _ were more manageable.,,balls,beans
186,Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.,,Erin,Victoria
187,Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.,,Victoria,Erin
188,Since _ arrived at work later Dennis would eat their lunch before Adam in the break room at their job.,,Adam,Dennis
189,Since _ arrived at work sooner Dennis would eat their lunch before Adam in the break room at their job.,,Dennis,Adam
190,"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being hungry.",,Neil,Samuel
191,"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being satiated.",,Samuel,Neil
192,After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,,Joseph,Logan
193,After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,,Logan,Joseph
194,The man wanted to put the luggage in the house but the _ was too small.,,house,luggage
195,The man wanted to put the luggage in the house but the _ was too large.,,luggage,house
196,The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.,,Samantha,Betty
197,The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.,,Betty,Samantha
198,Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.,,Kyle,Leslie
199,Kyle got a new cell phone and showed it to Leslie but _ was upset about the new phone.,,Leslie,Kyle
200,"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more of an inconvenience.",,bath,heating pad
201,"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more convenient.",,heating pad,bath
202,"Neil agreed to help wash Adam's large dog, and _ was very eager to help.",,Neil,Adam
203,"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",,Adam,Neil
204,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American.",,Rachel,Lindsey
205,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be British.",,Lindsey,Rachel
206,It was clear that Jessica understood and was entertained by the article from Monica because _ was the reader.,,Jessica,Monica
207,It was clear that Jessica understood and was entertained by the article from Monica because _ was the writer.,,Monica,Jessica
208,"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",,Maria,Emily
209,"In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.",,Emily,Maria
210,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.,,cup,bowl
211,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.,,bowl,cup
212,The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.,,Logan,Leslie
213,The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.,,Leslie,Logan
214,The chef decided to store the food in the container but the _ was too large.,,food,container
215,The chef decided to store the food in the container but the _ was too small.,,container,food
216,"My sister enjoyed writing on the blog more than in her journal, because the _ for everyone to see.",,blog,journal
217,"My sister enjoyed writing on the blog more than in her journal, because the _ for nobody to see.",,journal,blog
218,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had more sun damage.",,Derrick,Jeffrey
219,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had less sun damage.",,Jeffrey,Derrick
220,This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was juicy.,,burger,sushi
221,This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was raw.,,sushi,burger
222,"the statistics show many females compared to the males are being born everyday, the _ are few.",,males,females
223,"the statistics show many females compared to the males are being born everyday, the _ are many.",,females,males
224,"Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards.",,Neil,Robert
225,"Robert made the choice to buy Neil's house, so _ had a lot less money in the bank afterwards.",,Robert,Neil
226,The medical exam for the broken arm was longer than the exam on the heart because the _ was a serious problem.,,arm,heart
227,The medical exam for the broken arm was shorter than the exam on the heart because the _ was a serious problem.,,heart,arm
228,"When opening up about their crushes, Kenneth sighed at Jeffrey because _ forgot who their crush was.",,Jeffrey,Kenneth
229,"When opening up about their crushes, Kenneth laughed at Jeffrey because _ remembered who their crush was.",,Kenneth,Jeffrey
230,"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor entered the _ because Jack was receptive to it.",,math,sociology
231,"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor deleted the _ because Jack was resistant to it.",,sociology,math
232,Christopher wanted to be a specialist but not Adam because _ had an interest in a limited number of subjects.,,Christopher,Adam
233,Christopher wanted to be a specialist but not Adam because _ had an interest in a many number of subjects.,,Adam,Christopher
234,Megan enjoyed summer while Felicia did not.   _  spent much time indoors.,,Felicia,Megan
235,Megan enjoyed summer while Felicia did not.  _  spent much time at the beach.,,Megan,Felicia
236,John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is weak.,,wallpaper,glue
237,John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is strong.,,glue,wallpaper
238,The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was boring.,,blanket,teddy
239,The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was comforting.,,teddy,blanket
240,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.,,box,pot
241,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.,,pot,box
242,Donald offered Leslie their last stick of  mint gum as _ had a minty breath already.,,Donald,Leslie
243,Donald offered Leslie their last sick some mint gum as _ had a stinky breath already.,,Leslie,Donald
244,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with low calorie sweetener and the judges went by taste.",,Kyle,Samuel
245,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with high calorie sweetener and the judges went by taste.",,Samuel,Kyle
246,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ liked her.,,Felicia,Christine
247,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian.,,Christine,Felicia
248,Matthew wants to sell Kevin tickets to the football game because _ needs the money.,,Matthew,Kevin
249,Matthew wants to sell Kevin tickets to the football game but _ has no money.,,Kevin,Matthew
250,Elena told Natalie to put the hood of her jacket up because _ was likely to get cold.,,Natalie,Elena
251,Elena told Natalie to put the hood of her jacket up because _ didn't want her to get cold.,,Elena,Natalie
252,Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ decided to make another.,,Lawrence,Randy
253,Lawrence made a bowl at the pottery store and Randy accidentally broke it. _ offered to make another.,,Randy,Lawrence
254,The node on the head needed medication applied to its area because the _ was swollen.,,node,medication
255,The node on the head needed medication applied to its area because the _ would contract it.,,medication,node
256,Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were better received.,,checks,clothes
257,Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were worse received.,,clothes,checks
258,Matthew offered to help write a fitness plan for Christopher because _ was out of shape.,,Christopher,Matthew
259,Matthew offered to help write a fitness plan for Christopher because _ was a personal trainer.,,Matthew,Christopher
260,The waves destroyed the garage but left the house intact because the _ was so close to the shore.,,garage,house
261,The waves destroyed the garage but left the house intact because the _ was so far from the shore.,,house,garage
262,Katrina sells Maria a rug at the local flea market because _ is a customer.,,Maria,Katrina
263,Katrina sells Maria a rug at the local flea market because _ is a vendor.,,Katrina,Maria
264,"Joan's grandmother always wanted a hug and a kiss, but Joan preferred the _ because she was afraid of germs.",,hug,kiss
265,"Joan's grandmother always wanted a hug and a kiss, but Joan didn't like the _ because she was afraid of germs.",,kiss,hug
266,The library kept an enormous collection of novels but not comics because the _ were dull.,,comics,novels
267,The library kept an enormous collection of novels but not comics because the _ were popular.,,novels,comics
268,Carrie's store has more loyal customers than Patricia's store does because _ 's store is older.,,Carrie,Patricia
269,Carrie's store has more loyal customers than Patricia's store does because _ 's store is newer.,,Patricia,Carrie
270,Christine didn't pass the lie detection test that Jessica did because _ had something to hide.,,Christine,Jessica
271,Christine didn't pass the lie detection test that Jessica did because _ had nothing to hide.,,Jessica,Christine
272,Carrie faced the fan away from Angela because _ was getting too warm in the kitchen.,,Carrie,Angela
273,Carrie faced the fan toward Angela because _ was getting too warm in the kitchen.,,Angela,Carrie
274,"The winter made Jason's hands dry, but not Leslie's, since _ always forgot to moisturize at night.",,Jason,Leslie
275,"The winter made Jason's hands dry, but not Leslie's, since _ never forgot to moisturize at night.",,Leslie,Jason
276,"Because Carrie lost a bet to Cynthia over the basketball game, _ spent hours having the cleaning done for them.",,Cynthia,Carrie
277,"Because Carrie lost a bet to Cynthia over the basketball game, _ spent hours doing the cleaning.",,Carrie,Cynthia
278,I would rather listen to the radio than watch the TV at night since I find the _ disruptive.,,TV,radio
279,I would rather listen to the radio than watch the TV at night since I find the _ soothing.,,radio,TV
280,Randy started his own business while Ryan worked for someone else so _ had self-employment taxes.,,Randy,Ryan
281,Randy started his own business while Ryan worked for someone else so _ had W4 taxes.,,Ryan,Randy
282,"Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a perfect match for her wardrobe.",,hat,jacket
283,"Her boyfriend regretted buying her a jacket and got her a new hat instead, as he knew she thought the _ was a bad match for her wardrobe.",,jacket,hat
284,"Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much slower.",,Victoria,Monica
285,"Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much quicker.",,Monica,Victoria
286,"I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerless.",,sprays,bedbugs
287,"I used several sprays to get rid of the bedbugs but they didn't work, because the _ were powerful.",,bedbugs,sprays
288,Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up on a farm.,,Monica,Natalie
289,Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up watching soap operas.,,Natalie,Monica
290,There were more books at the library than at the bookstore because the _ was bigger.,,library,bookstore
291,There were more books at the library than at the bookstore because the _ was smaller.,,bookstore,library
292,Drawing was a talent of Sarah but not Carrie so _ was always eager to see her artwork .,,Carrie,Sarah
293,Drawing was a talent of Sarah but not Carrie so _ was always eager to show her her artwork .,,Sarah,Carrie
294,Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very dowdy.,,Rachel,Emily
295,Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very stylish.,,Emily,Rachel
296,"Tea and coffee should be drunk out of different vessels, cups and mugs respectively. Coffee is usually served in the _ , with milk and sometimes sugar.",,mug,cup
