id,question,concept,true_answer,wrong1,wrong2,wrong3,wrong4
5a953b5fb26f1614640574f65410e8b0,"Mark's semen was very thick, but after his vasectomy it was also what?",,clear,blank,sparse,thin,free flowing
ac0351d8649fb60af40c5638061a2e21,What is a great place to lay in the sun?,,beach,in the basement,west,solar system,beans
c8b18acf8e95172ff79b0a837e9369f3,Where would you find a seafood restaurant in the east coast of North America?,,maine,boston,beach town,coastal cities,ocean
7a7ff4499a7162265ddac0c3e2e8e5fc,The president is the leader of what institution?,,government,walmart,white house,country,corporation
fb721d7949d06915a2dd6fc6ec815325,Sitting to close while watching TV can cause what sort of pain?,,headache,brain problems,laziness,get fat,laughter
47db2878d917ceb8d82627de4722a254,Where is a bald eagle safe?,,wildlife refuge,pine tree,open country,in washington,sky
f03a340e093dbd5eea88feb6507ed20e,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",,paying,costly,captive,contained,caught
5f6296570569960a05c47a2a79656363,What kind of driving leads to accidents?,,dangerous,stressful,fun,illegal,deadly
89586c4ab04f3133a2c7165322409c3d,What is eating too much dinner likely to result in?,,stomach ache,tiredness,living longer,illness,acid reflux
98b176ac1c91370e079863d13c7dd964,What is a person chatting with friends likely hoping to accomplish?,,social bonding,gathering of information,communication,feel relaxed,kill boredom
b13d110147ecf24562b64a69df4fe5ad,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",,street,disneyland,snow,windowsill,summer
145f1ccce9aeab854f6514f927f58288,"A fox was thirsty searching for water during the drought, where was he?",,california,painting,hen house,virginia,movie hall
c428412a660f34965772a7389ce58e0a,What might be the result of a season of successful skiing?,,healthy body,finish line,broken bones,broken legs,chapped lips
80f8afc17b5b5915a327240db8bc2a52,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",,proximity,near,closeness,here,this
a662c9971a497d601c5be888670d10ae,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",,late for work,gain weight,heartburn,bad breath,early for work
8bf8c8597dfc5e8ec72b486541338e33,"The evacuation became mandatory, so what came on the TV?",,advisory,mandate,soap opera,elective,optional
313b72ce5b14f3d0b86b91c7bc6497be,The person gave a good hands on what to show how to do the work?,,demonstration,garage,building,barn,synagogue
6efbe0725841b961848b6935fe67a471,Where would you see some people doing jumping jacks?,,military base,opera,water fountain,bus stop,church
4163cfdd31feb277084ceb3996b3a851,"The body guard was good at his duties, he made the person who hired him what?",,feel safe,better job,irritated,save money,headache
3f720c9ad7f3eb99400dd8c81fc269d8,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",,frustration,better communication,overthinking,misunderstandings,headaches
4dbeeb50a01a3b5c9c76d1052c4b14ea,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",,get arrested,going to jail,going to prison,beat him up,die
129014ff081296c3d9bbc338c5ff32db,Where is there usually a fiddle playing?,,orchestra,music store,dance hall,symphony,tennessee
8f495e9bcd88ce23617197520442090c,What is the only was to recover from exhaustion?,,have rest,mediate,stay in bed,run out of steam,go to sleep
6dc921840aa1e5dda3333b79007f630b,What would you do if you want to be able to earn money?,,apply for job,stand in line,take care of proposals,pass course,play the lottery
c879e1677869c4d58102c608da805453,What is a grumpy person likely to have?,,headache,understand themselves,compliments,own house,happiness
16699879d1f1b67f1664e78324cadd65,What do drugs do?,,cause accidents,damage,cloud mind,lower i.q,cause illness
a7c9d4f6be3bb973c4ebecb1e841b3ac,A beaver can destroy a machines functionality if they build their dam in this?,,millpond,strip club,pocket,ontario,lake or river
9f84a7225b5da1e119ae54919f38ba79,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",,reach tentative agreement,suicide,examine thing,commit murder,stay in bed
70a97a0079878b3a46080d00a4e118fb,Where could a fungus grow and not be disturbed by sunlight?,,under rocks,manhattan,toenails,grocery store,fallen tree
00dc6e53c3715d0050ffb78646cd6c7c,Can you name a good reason for attending school?,,get smart,boredom,colds and flu,taking tests,spend time
d829cc86312173f28b877987ae87fd7c,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,,tennessee,alabama,violin case,music store,bow and strings
223d54ae26635218666dc05f42a469e9,"Though she made the cut years ago, its figurative scars would never what?",,heal,joining,put together,stitch,paste
f75bb741497541837b92c4c2a113f5a4,What does sex often make happen in people?,,feel good,making love,happyness,wonderful thing,cloud judgment
5208880ea3b34d2de7ab59aedf499225,Where would you see people in uniform playing with a ball?,,sporting event,hole,television,sporting goods store,pool table
21db09783c773fed677cd5ec3b71eecf,What kind of place could have a seafood restaurant?,,city,new york,coastal cities,coastal cities,boston
63e0569414c0bc6e51c8c230a598ac55,Who was the head of the branch yelling at?,,subordinate,owner,foot,base,point
142626e4fc9656c97d7d7f93822cc381,"He made another call, he did this all day hoping people would what well to his offer?",,respond,hang up,contact,answer,attracting ducks
c59b184974e5f820763bd901a62a5473,"She needs to visit a bookshop after buying the latest fashion, where should she look?",,mall,student union,department store,library,town or city
58c3817107e323fdd7d70c4014990626,Where could you see an advertisement while reading news?,,web page,television,bus,email,la ville
a7be27a64aad72c029f05a2c7fc6d55f,What is required to be good at playing tennis?,,skill,tennis racket,competition,tennis court,legs
6122883c3b5cd10b59a29dbd582e19c8,What state is the John Davis  Lodge toll road found in?,,connecticut,new jersey,eastern united states,good repair,arizona
5cc173999089fd11673252a58b8c0feb,"The man went to clown college, he had always want to run away with the what?",,circus,carnival,surprise,spoons,party
d57ca8ce3f5ef4794d127c2385228698,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",,gain weight,augment,dispare,make larger,expand
d6503fc1f87e3e2caeb7bf8e16526e0f,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,,death,coma,peace,forgetfulness,loss of life
1c16c914f3e9e99c678d6f1ec30194a8,"If someone is aloof and self-important, what is their experience when meeting people?",,being bored,stress,nervousness,smile,making new friends
a7b24b7ab7f0065c8688ee84d47899f1,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",,construction site,factory,engine,insides of skyscraper's walls,shops
e97a7b91a1ca85f362c42e04c983fc2a,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,,progress,static,train of thought.,transfer of information,collaboration
bc07822ca1f8892b80d632b9c03e1187,When you play around with your dog they will have?,,fun,alive,health,playing dead,black
367a52860ea02568f014242ec1967d78,Where would a person keep a book while it's being read?,,desk,closet,library of congress,classroom,in bed
ca9a3ccfb140aa66816f96ac983b6d9f,"The student needed to  get some new pencils, where did he go?",,store,classroom,backpack,cabinet,teacher
591221f7cf4790253d19b08d9ea1f77e,"She loved buying products, she was driven by her what to shop more than any practical needs?",,desire,money,time,credit,spending money
cf9904211d9c602da9e41be0e3b24aff,How does getting paid feel?,,satisfaction,income tax,sorrow,ocean,bill collectors to happy
864ff0aa11611d0de8865034ac0ecb86,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",,cant do,no go,unlikely,unable,impossibility
d4ebade47b1e84ab403efc715a7ca991,Where can meat last a long time?,,freezer,backery,ham sandwich,fridge,butcher shop
3c0a8fd4547feaa73b8e5d797e7ecc76,What group of musicians will include someone playing the cello?,,symphony,ocean,band,music store,music shop
ad3aa40dec688333dba0b88e325481ea,Where do bees congregate with red flowerS?,,rose garden,trash can,honey,bouquet of flowers,field of flowers
1bca9774955d7e794a6e48ffcf95e728,What is someone who gets angry after getting drunk likely to participate in?,,violence,falling down,vomiting,vomiting,lower standards
68b13a7a996a07b8ea6731349d9348a4,"The teacher told all the students that listening was key, it was the main way they would gain what?",,knowlege,empathy,anxiety,falling down,hear things
c12221a251d96e691753cfd3ac0b33c4,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,,reality,imagination,dreamworker,nightmare,awake
de450d514150b9ff12c25026253116f8,The city's community garden was demolished for yet another what?,,parking lot,wasteland,ocean,desert,flowers
042ce5d57aed06e6988c3739050fb1e4,WHat do cats get into when they are ripping things apart?,,trouble,dog's mouth,floor,garage,nature
77a4a131e9083f6a4c70e8f88df54056,What is a good result of losing weight?,,healthier,increased energy,loose skin,beauty,death
5f26970bd0b7b4a38f185aa5d5688717,A person lived in my what?,,garage,demonstration,conference,building,mouth
8adc90ed047cb821793c84567a14d2e2,"The skin was cut while chopping onions, where was this skin likely cut?",,finger,good health,meat,body,own family
167c0dc61979a026ebeb721f9513bda2,What might you feel after doing housework for hours?,,stress,anger,not boredom,boredom,anxiety
1cc14f6c9ae4435ddb4e4c520eee0065,"The accountant used a calculator regularly, he kept one at home and one at the what?",,office,desk drawer,desktop,wristwatch,city hall
49430bdae459f7368471e14391d0eeb1,At the end of your meal what will a waiter do?,,present bill,serve food,eat,set table,serve meal
e63b2dd1db7e1bd707956a41d3d2a83c,"If you aren't glad, unhappy or gloomy, what illness may you have?",,depressed,downcast,angry,unhappy,sorrowful
b18afff8078a6baa334b8bfb21db8624,You can hear testimony of how spirituality changes lives when you do what?,,go to church,appear in court,watch soap operas,paying attention,go into court
84a559081220249df3a27f1f406594f6,"It was a great rest, she had never felt this much what in the morning?",,wakefulness,active,hunger,in motion,lay down
eefde762b9bf947d1c1b87fea4bbe6b4,Which region has the most famous temple?,,middle east,jerusalem,jewish community,city,mosque
2a258ed37974c9226cbb32cfbf88d4f0,Where would you find a bee gathering pollen?,,field of flowers,united states,sky,court,orchard
308b1c17a0dc5273d442dba191789de7,Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,,closet,roof,school,beach,garage
5f3357cd75e10f08d46195289d1a823d,"If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?",,being married,sisters,marriage,two people,lawyer
8c157adc2027737cefb4ee0d6c9836d6,How do geese normally get from place to place?,,fly,carried by people,guard house,follow ultralight airplane,group together
688772598f69066794067c48197a9ab2,John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,,hands,hostility,anger,nose,fists
6874cbf68869d5482b719778f85b09a5,"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?",,big house,living room,dog park,basket,small apartment
397efef2f7c69fbb8f7507f2907196e3,WHat leads to someone's death when they are very depressed?,,suicide,overdosing,sadness,murder,cyanide
6741642ade99f46b6086e9468f327b49,"She was sick and staying in bed the day of the event, unfortunately this meant she was what?",,missing out,resting,sleep more,bed sores,comfort
c4dcfeacbbc2d365a6fc34d8811e4ed6,Where would a lizard surprise a person?,,garden,new mexico,forrest,dessert,creek
64ce22ee28a83119363b83a83de1ae92,"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?",,friend's house,picnic,table,space shuttle,fairgrounds
46376ac886af06e85beac37f3391c357,Who is likely yo have a caring heart?,,person,species,artichoke,all mammals,live animal
4bc34224aaa443baad6ccae86e11f3ab,"I'm looking for alcohol and fried foods, any suggestions?",,pub,plane,beer,store,fraternity house
9fd4737d024fb0d6a9f047bed295bddb,"If I had a jar which was likely to spoil if left out, where would I want to put it?",,refrigerator,kitchen cupboard,pantry,grocery store,pantry
2713983edc30c6391b9aa4ef2cb7ed79,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,,france,books,fish market,atlantic ocean,cuba
478a2734a41c208d54b79e165590c8d2,What will happen to skin pinched in something?,,feel pressure,feel cold,feel bumpy,itches,feel clammy
8f338dbffed1b6489297aeeace0e6388,"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.",,end of line,child's hand,the last straw,hobby shop,toy store
2060c15ad927d63db327f6277abee731,"The man uses grooming before a job interview, what is he trying to portray?",,neatness,looking good,beauty,tardiness,handsomeness
a74b9266de3c155863231cc6eae36dce,Where would there be many people sitting in chair and listening to religious speech?,,synagogue,auditorium,office,confession,church
78cc94259c69fe5860663cfb709e12d0,Where is a tabby cat likely to be happiest?,,lap,box,home,alley,barn
0207126210b7d3c65da2f62b175e0e99,East coast areas such as Florida are found where?,,united states,florida,denmark,map,california
75ca0cb4e5e4ff188fcf7aa2c8af58fb,"To learn must have the right book, to work efficiently what must one have?",,have tools,improve yourself,become knowledgeable,persistence,have more knowledge
6bdb0431fa12fbdc5d641044379eec7b,What is a mobile launching platform found in the ocean?,,aircraft carrier,launch pad,circus,large open area,space station
86ca5b66f3edd3ba38f117dd2c2cc1b2,There weren't potatoes but actually a snake in his what?,,burlap sack,hot country,purse,pet shops,deep grass
3c4726ed93e78b8c9ed9ff4ac444a62f,What could listening to music cause you to be?,,calm,happy,smile,entertainment,relaxation
aa55b7f6b2b2c627ea7d95b621a0ffbf,"If you want to make a big splash in a river with a rock, from where should you throw it?",,bridge,mountains countryside,ground,mountain range,surface of earth
5b31de5a0506985dea62030485e9c3c3,What is committing perjury likely to lead to?,,arrest,shame,embarrassment,go to jail,tension
9a2a94207d01eae356a632638c708505,"The new play was the go to performance of the year, all the crowds would stand and what?",,applaud,admiration,make reservations,experience,sleep
6b819727eb8a670df26a7ffad036c119,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?",,math problem,park,coloring book,garden center,gravity
bb7e95200163d56ff217cba6eae470c8,Where are people likely to find food?,,supermarket,opera,building,conference,apartment
e1c1e59bef82df97789fb74211588d25,What might a kid do with his friend before going to play?,,meet,laugh,sit,being entertained,math
b050548eda5c0aa847542a5e5f2226ea,What is a person who is well educated?,,knowledgable,illiterate,own house,have enough food,meet expectations
5fed6d8e79458a77fafccc77c5430166,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",,prison,bridge,locked up,homeless shelter,neighbor's house
4840397382c65294f9f1505cd5845799,Where do you buy tickets at a ticket booth for games/,,fairgrounds,train station,cathedral,metro station,amusement park
98f268fe3f6603dffd1ef3720e612adf,A soccer field that is not contained in a building would be where?,,outside,playground,mexico,town,world cup
1958f3bf80c4515629f0d342c540c0b8,Letters are sometimes delivered by hand through one of these.,,front door,mail box,suitcase,bowl,post office
d27d0465137f3c709426eccae98acbe5,John came to see Sam and Sam kicked him out.  Sam didn't like company.  He prefered what?,,solitude,you,abbreviation,loneliness,alone
d227f28c9490843fb225fcf4c7904ba9,"If somebody likes temperatures cool, they might have more than one electric fan where?",,home,hardware store,home,hot room,office
b2c3a4d4c013ec6251bcfd92f35063d6,"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?",,falling down,injury,death,playing uno,coma
3667955cd4a7b8af3f2ed35747eea857,"The president had to make a decision regarding the hate attack on his country, what did he do?",,wage war,fight enemy,kill,destroy enemy,attacked his country
8f94e2afc2456142d50a8e76bb4f2ba7,What's it called when you have seen something through an eyepiece?,,sights,optical illusion,optical telescope,light microscope,binocular
86ea5303d0194c17ac6f6dec5585751d,"He had done a great job with the scary decorations, they were completely what?",,horrible,terrible,little,halloween,small
371f22b6bf7c922f4f3a3ed182992656,"If you did well on the test, you might get an A as a what?",,school grade,see work,practice,quiz,homework
53cec6df76ad2fc0d802979682d1ce4e,If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,,work,dream,fiddle,watch film,see new
126fcd9a539ac8237f82863df295108e,What is a good result of jogging?,,improved health,insect repellent,heart attacks,shin splints,being tired
b629881148db7b32eed4d225fedf7c31,What is done to wood to attach something to it?,,nailed,carved,polished,eat cake,petrify
f35128ce82c006de5f73efdd0f9cca06,Where is a fox likely to be caught?,,grassy field,tennessee,inside joke,the forrest,england
e5a694ab7333ea27a942613d248b732a,Where do you put a new dining table?,,house,cafeteria,arranging papers,in the park,formal dining room
c330780e3e855a5b2bd730b9a3997c5c,"Sometimes fighting inflation isn't even what, because it is so negligible?",,not noticeable,economic instability,spend more,rising interest rates,boring
fa01c3b02ef685da10246088861f8e1b,What is likely to have more than one level in a city?,,garage,carpenter's shop,video game,total number,building
4c0253d32a773f66cd70cc19cec89f80,Where is likely to have a lot of fire extinguishers?,,hospital,garage,boat,house,doll house
f135ec42b0fa32dfcbf41e8af1fa9476,Where would someone learn to play an upright piano?,,music class,music room,music store,medium,house
7c22c55993fccd4c7d3c4d1f97bfff7e,What is necessary for learning by yourself?,,study,exposure,patience,cooperation,thought
ed0937d5ecad752068e97f9d8c5bd5c5,"John and Jane were a couple.  They were dating for a while and wanted to be together for even longer. For this reason, they did what?",,plan to marry,make sex,dance,electrical circuit,row about
eae086f7e41faeffd22f8bb5b9e40cbc,What emotion does getting paid lead to?,,happiness,sorrow,paying bills,frustration,spending money
8e455fecd2912108d741759ebc26183e,Who is likely going in to a market?,,that you,stress,food,spending money,walking
640fa2a025a73dc0087c55a397b339d9,What is a characteristic of thin glass?,,break easily,shattering,melt,bend,hold water
441fe2061e792c3df4f60a0dc41766e2,What do you get for not moving your car during the required time?,,ticket,towed,accidents,driving,getting tired
02c5b92d97670cdd5fbf7a1f697fbff8,"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?",,city block,a bed of nails,town,attractive consistent look,ground
d4fc07e02f2bc0492f67eb96af10538b,Where would you be able to hear a bassoon played in an unpleasing fashion?,,high school band,orchestra,baritone woodwind sound,symphony,play music
6efacba15f0cd3ff31915405875895f8,John loved competing because he was very competitive.  He liked being about to divide people into what categories?,,winners and losers,perform better,might win,losses,enemies
9b54283999001e13a8a43d3e2a1c392b,The game was on sale.  I got it then because it was usually what?,,expensive,buying,purchase,overpriced,way to much
35cb4c0687c17933114b02377f6c77d6,What could a massive building be if it is not constructed well?,,insubstantial,massless,dwarf,inconsequential,good
5f1b5f7b8cba3d315e96435bb4720135,Where could a printer be used by thousands of people?,,school,home office,people store,print shop,newspaper office
dff0e9959fcbbe48b43e62156248a553,What could prevent someone from buying chistmas presents?,,lack of money,happiness,stress,relief,exhiliration
e539f3d55509e93558373042bb1e3ed4,What is the hope of playing sports without competition?,,have fun,running,balls touch,winning,get tired
037b67b11456abd7e556d3a864eceba4,"They moved out of the city to have a master bedroom, what kind of home did they seek?",,suburban home,large house,big house,old house,keeping personal objects
e99da2b1d9ec4be89c2b42407aa5a15f,What could you add a line to?,,graph,bus stop,post office,grass,play
586f0c1a627e0199a2e07b77e729f4dc,Joe bought a ficus.  He thought it would look good in what part of his home?,,family room,tropical forest,flower garden,movie theater,hair salon
ab6872dabd0cc54c55200282e19294f4,"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?",,desk,front of door,bedroom,table,living room
901dc43313a51b67a0bdff75b4415a49,"When people discover something new while chatting with friends, why are they likely to continue talking?",,learning about,agreement,to fill their time,discomfort,misunderstanding
45f0c751b90321956f1f1fb67f33f5c4,How can one's views change after learning about science?,,see things differently,appreciation of nature,become educated,excitement,increased knowledge
aa3ad08cfe609df6c1024ad7a0665d94,"Traveling underwater has many dangers, such as low visibility causing what?",,disorientation,due to,meeting new people,getting somewhere,relocation
4c71b0e5cbd0f9fcc0c4086c49552c65,Where are people likely to stand at an intersection?,,street corner,cars,city street,fork in road,at a red light
6f18c3f29d65c51e1f4a79cc291b8a96,Janet knew she was dying from her injuries because she could feel herself doing what?,,getting cold,sleeping longer,death and decay,change of color,stop breathing
10a9268f59c783e75131ae08e28202a5,"An expressway can suffer from traffic, this traffic gets worse the closer you get to any what?",,american city,michigan,map,rest stops,country
442dd2d372228b9942f55d761ef961a3,Where are there more telephone booths?,,city,gas stations,london,train station,airport
a7f8089e91cf764119cc90d33bbe6c54,"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?",,closer,present,stay here,available,come here
8e3dfa1aa4cee48a75da9fcb203e754f,"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?",,music shop,house,studio,storage,closet
585a194bba23870f6a636068f081de00,What can someone feeling happiness fall into?,,love,lead to laughter,laughter,smiles,tears
9433423c6b7d9f9d0a2aca1cdf63c139,How might a person address someone who is leaving?,,wave goodbye,further cause,attempt suicide,insulting them,thank god
c10ebb0e1b588d6a534edb297d2f4443,What does a chef do when working in the evening?,,cook dinner,study french cooking,taste sauce,prepare food,thin sauce
7851102d9fb1010792e4860dfd408f59,What would happen to a person if his or her money is stolen?,,feel angry,complete sentence,drink tea,cross street,park
304200a3cd10da12a92022893f0fe3fc,"The people in class were instructed to brainstorm ideas, how would they use their minds for this?",,think creatively,shake hands,control events,talk to each other,dress themselves
2ac67ce590944ea9c5ee1dd41a721c56,Someone lacking immortality will one day be?,,dead,kick the bucket,mortal,can die,dying
a378255dfaa7c238d1c258084726c899,"After his mother saw his report card he knew he was going to be doing housework, what could have prevented this?",,getting good grades,sneezing,fatigue,house clean,feeling satisfied
93cdaa3a2af5822034be244004277fa3,Glass that hasn't been treated to be extra strong is what?,,fragile,weak,forceless,regular,flimsy
12148e42c0fc0ffa3e612967070abcfd,If you've thrown a rod you've done damage to what?,,engine,fishing camp,hardware store,your spine,sporting goods store
c70ff170a6f133cad91ea2d9dfc4ce0d,What enables most people to transport themselves?,,own cars,helicopter,speak words,believe in god,dance together
0077e331c0a3d611c0d8ad367783f2ef,What do people in the same family often share?,,names,brown hair,two eyes,will,brains
be8a6042c28c545dc971b4340b675365,What is an area with no grass where I can get things to sell at a roadside stand?,,garden,surface of earth,rest area,supermarket,state park
6782b7ce5d7fe7245edd246d63f6014b,Where do kids find fish in their backyards?,,pond,boat,ocean,end of line,ocean
5eae9a162af2fd897c50ed1883a3809a,Where must one wear a white shoe?,,wedding,tennis,closet,left foot,house
27fece3289aea6b667d3f2f3402327f8,"James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?",,hand written,cursive writing,hand writing,store bought,online media
35c3f9787f43626188837159ca86c8f2,"They checked the weather one more time during the flight, they were on their way to paradise and wanted it to what?",,look beautiful,be happy,change quickly,occur here,surprise us
5a55a24206cf1e342afde7991c6b0b76,What are you hoping to achieve when talking to someone?,,communicating with others,hurt feelings,dry mouth,intimacy,changing behavior
9c047d024146b4fecd933e559f0adb4f,What place of work might you find a hairpin?,,hair salon,hair of woman,barber shop,pincushion,woman's hair
278aa323f2f0790e40716b6bd5dbed91,What can go on a football field?,,players,oklahoma,university,college campus,yard
a76971c0fa4f8d0e32fcaf1298367c62,What has a master of their craft done about that craft?,,learn,drill,committed murder most vile,bargemaster,understand
41e688b8ec1b507dbb8f8b37b40f26e6,If your watching television and accomplish nothing what have you done?,,wasted time,getting fat,get fat,typing words,falling asleep
946ba9d7088272f0a81647ac1c347d03,"He was in a cabin in the woods, through the window he saw a fox where?",,outside,indiana,england,on the wall,picture
6aa6caa33c91e2a08bc2e18a1d4da225,"The hippy wanted peace with all humans, he had strong what for them all?",,feelings,names,words,naval,bladders
b9d9d5dde90821e21b97f13e7fb97e29,"He was a very sharp engineer, but when it came to the details his calculations could were often what?",,inaccurate,complimentary,inelegant,ocean,dull
